rank,team,rating,season
1. ,Duke,1.06205,2019
2. ,Virginia,1.04997,2019
3. ,Tennessee,1.02078,2019
4. ,UNC,1.01386,2019
5. ,Michigan St,1.01126,2019
6. ,Kentucky,1.00734,2019
7. ,Houston,0.998809,2019
8. ,Michigan,0.99069,2019
9. ,Kansas,0.986555,2019
10. ,Gonzaga,0.972508,2019
11. ,LSU,0.97035,2019
12. ,Florida St,0.959639,2019
13. ,Texas Tech,0.952767,2019
14. ,Buffalo,0.935129,2019
15. ,Kansas St,0.933739,2019
16. ,Cincinnati,0.923548,2019
17. ,Auburn,0.917709,2019
18. ,Purdue,0.905356,2019
19. ,Villanova,0.898447,2019
20. ,Miss St,0.879651,2019
21. ,Wisconsin,0.87954,2019
22. ,Nevada,0.87804,2019
23. ,Virginia Tech,0.871121,2019
24. ,Marquette,0.870831,2019
25. ,Wofford,0.867145,2019
26. ,Iowa St,0.86493,2019
27. ,Maryland,0.864538,2019
28. ,Washington,0.862077,2019
29. ,UCF,0.845212,2019
30. ,VCU,0.835615,2019
31. ,Oklahoma,0.816402,2019
32. ,Utah St,0.813836,2019
33. ,Louisville,0.812688,2019
34. ,Temple,0.812562,2019
35. ,New Mex St,0.809382,2019
36. ,Iowa,0.808161,2019
37. ,Minnesota,0.803553,2019
38. ,UNC-Greensboro,0.801721,2019
39. ,TCU,0.794322,2019
40. ,Syracuse,0.791435,2019
41. ,Arizona St,0.784111,2019
42. ,Toledo,0.7816,2019
43. ,Seton Hall,0.779744,2019
44. ,Murray St,0.776607,2019
45. ,Ole Miss,0.773304,2019
46. ,Florida,0.767696,2019
47. ,Baylor,0.767682,2019
48. ,Belmont,0.763282,2019
49. ,St John's,0.757046,2019
50. ,UC-Irvine,0.756438,2019
51. ,Oregon,0.752478,2019
52. ,Ohio St,0.749792,2019
53. ,St Mary's,0.749654,2019
54. ,Clemson,0.748922,2019
55. ,Davidson,0.745625,2019
56. ,Texas,0.745336,2019
57. ,NC State,0.745268,2019
58. ,ODU,0.741718,2019
59. ,Alabama,0.738571,2019
60. ,Memphis,0.737021,2019
61. ,Yale,0.729693,2019
62. ,Creighton,0.729337,2019
63. ,Furman,0.727588,2019
64. ,Georgia St,0.722296,2019
65. ,Hofstra,0.719164,2019
66. ,Xavier,0.716189,2019
67. ,Nebraska,0.714378,2019
68. ,Indiana,0.713224,2019
69. ,Dayton,0.712448,2019
70. ,Georgetown,0.709767,2019
71. ,Vermont,0.708706,2019
72. ,Lipscomb,0.706323,2019
73. ,Northeastern,0.704469,2019
74. ,Wichita St,0.701431,2019
75. ,Liberty,0.700321,2019
76. ,Drake,0.699625,2019
77. ,Arkansas,0.698352,2019
78. ,Providence,0.696815,2019
79. ,Colorado,0.691684,2019
80. ,ETSU,0.689892,2019
81. ,Fresno St,0.687749,2019
82. ,St Louis,0.687401,2019
83. ,Kent St,0.679546,2019
84. ,Butler,0.678688,2019
