RK,TEAM,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,Season
1,Virginia ,123.6,88.7,0.9783,55.7,43.5,14.7,17.8,30,25.9,30.3,27.9,52.2,45.5,40.9,27.2,61,11.5,2019
2,Gonzaga ,124,90.8,0.973,59.6,44.2,14.5,18.9,30.6,27.1,36,25.1,62.3,43.1,36.5,30.9,72,6.9,2019
3,Duke ,119.4,88.2,0.9702,53.4,44.6,17.7,19.8,36.1,29.7,34.6,24,58.3,44.9,30.2,29.3,74,11.5,2019
4,Michigan ,116,85.9,0.9694,52.1,44.1,13.5,18.3,24.5,25.5,27,24.9,51.8,44.5,35,28.9,65.8,9.5,2019
5,North Carolina ,120.6,90.5,0.9645,52.9,48.3,17.1,18.5,34.6,23.2,30.9,28.9,51.9,47.5,36.5,32.9,76.3,10.3,2019
6,Michigan St. ,120.4,91.5,0.9592,55.8,43.7,18.7,14.9,34.1,26.8,35,27.7,54.8,41.3,38.4,31.8,69.2,10.8,2019
7,Texas Tech ,113.6,86.7,0.9572,53.7,42.8,18.2,23,28.6,28.6,33.5,37.6,52.9,41.3,36.8,30.1,67.7,6.7,2019
8,Kentucky ,117.9,90.7,0.9532,53.3,47,18.5,18.4,36.6,25.8,42.5,27.1,52.7,43.6,36.4,35,67.3,8.9,2019
9,Tennessee ,122.8,94.7,0.9522,55.3,47.4,15.9,18.2,31.6,30.3,33.4,34.4,55.7,44.6,36.2,34.4,69,9.8,2019
10,Purdue ,121.3,94.4,0.9471,52.7,49.5,15.9,19.5,35,26.6,29.4,32.7,51.2,47.9,36.4,34.4,67,6.3,2019
11,Virginia Tech ,118.5,93.7,0.937,56.4,48.9,17.5,21.7,29.8,27.4,31.4,26.4,54.2,48,39.4,33.2,65,5.3,2019
12,Houston ,114.8,91.1,0.9342,52.1,42.4,16.8,18.2,34.7,26.2,31.9,37.6,50.8,43.1,35.9,27.6,67.5,7.3,2019
13,Auburn ,119.8,95.6,0.9304,54.2,51.8,17.5,25.3,32.7,32.9,31,36.6,51.3,50.4,38.1,35.6,69.4,6.2,2019
14,Wisconsin ,108.7,87.6,0.9225,51.5,44.8,14.4,17.2,24,26.5,27.5,25.9,49.8,43.7,36.6,31.2,64.8,6.5,2019
15,Louisville ,113,91.2,0.921,50.9,46.4,17.8,16.3,29.2,25.8,35.1,31.6,50.6,45.7,34.2,31.7,68.6,2.7,2019
16,Kansas St. ,107.9,87.5,0.9172,49.5,48.1,17.4,22.9,28.1,25.6,30.7,30.5,49,49.1,33.6,31.2,64.8,6.2,2019
17,Florida St. ,112.1,91,0.9169,50.7,47.3,19.2,20.3,33.1,26.9,36.3,36.1,51,46.2,33.6,32.6,69.9,8,2019
18,LSU ,118.9,96.9,0.9133,51.7,50.2,18.2,20.7,37.3,30.4,37.7,34.2,53.4,49.7,32.3,34.1,71.3,7.3,2019
19,Iowa St. ,118.7,96.9,0.9117,54.9,48.5,16.2,18.8,28.5,30,30.3,23.6,55,47.1,36.5,33.8,69.2,3.9,2019
20,Kansas ,112.2,92.3,0.9049,52.3,47.8,18.7,18.5,29.7,28.3,32.9,27.7,52.2,45.9,35,33.6,71.5,7.9,2019
21,Mississippi St. ,116.7,96.2,0.9026,54.6,50.1,19.3,19.7,34.9,29.8,32.3,31.7,53.3,48.5,37.8,35.3,68.9,4.5,2019
22,Maryland ,112.6,93,0.8998,51.9,46,19.8,14.3,33.9,24.7,32.9,26.6,51.3,44.7,35.3,32,67.6,4.4,2019
23,Clemson,108.5,90,0.8953,51.3,47.5,19.8,19.6,27.8,24.4,32.8,30.4,52.1,44.2,33.2,35,67.4,0.4,2019
24,VCU ,104.8,87.2,0.892,50.6,43,20.1,23.5,31,30.6,36,37.2,53.7,43.8,30.7,27.6,69.7,1.1,2019
25,Florida ,110.1,91.7,0.892,49.9,48.4,18,22.6,31.1,31.7,30.4,33.6,49.8,48.6,33.5,32,64.3,0.6,2019
26,Buffalo ,113.3,94.9,0.8851,53.4,47.2,15.6,20.4,31.6,26.7,32.2,31.5,55.8,48.8,33.6,29.7,75.3,5.6,2019
27,Wofford ,116.7,97.7,0.8847,57.8,50.2,16.2,19.3,32.3,24.6,27.7,31.8,54.3,50.9,41.6,32.7,67.3,4.2,2019
28,Cincinnati ,111.7,94,0.8781,49,48.1,16.1,20.9,37.6,29.4,38.1,30.5,47.3,44.7,35,35.1,65,5.2,2019
29,Texas,114.2,96.2,0.8778,50.9,49.5,16.5,19,28.9,30.2,30,29.8,50.5,46.6,34.3,36.5,66,-0.9,2019
30,Marquette ,113,95.2,0.8774,54.1,45.9,19.5,16.6,29.1,26.2,35.9,35.7,50.5,44.8,39.3,31.9,70.4,3.2,2019
31,Syracuse ,110.4,93,0.8772,49.5,47.5,18.4,23.2,30.1,33.3,36.8,34.8,49.5,46.5,33,32.3,67.4,0.8,2019
32,Penn St.,110.2,92.9,0.8769,47.5,49.9,18.1,19.6,31.9,26.3,32.3,34.1,47.2,48.4,32,35.4,68.9,-2.5,2019
33,UCF ,110.7,93.6,0.8734,52.7,45.5,17.5,18.3,29.6,29.5,46.4,29.6,52.5,44.6,35.4,31.3,66.4,1.6,2019
34,Nevada ,112.6,95.3,0.8723,54.1,47.6,14.4,19.2,26.5,24.7,40.7,27.6,55.1,46,35.1,33.4,70.9,3.9,2019
35,Villanova ,115.6,98.2,0.8668,53.4,49.9,17,18.1,30.8,27.3,35.3,28.6,53.9,49.7,35.3,33.5,65.2,4,2019
36,Saint Mary's ,113.5,96.4,0.8665,54,48.6,16.3,16.4,31.3,23.2,29.7,29.4,52.5,49.1,37.8,31.8,64.2,-0.9,2019
37,Mississippi ,113.1,96.4,0.8628,53,50.6,18.2,21,30.4,29.5,31.7,33.2,52.6,47.8,35.8,37.2,69.7,0.9,2019
38,North Carolina St.,111.9,95.8,0.8557,52,48.8,17.5,21.7,35.7,28.5,28.5,39.4,51.6,50.6,35.1,30.2,72.9,2.3,2019
39,Oklahoma ,108.7,93.2,0.8549,50.2,47.1,17.4,17.5,26.2,27.9,31.4,24.1,49.6,45,34.2,33.3,70.6,2.2,2019
40,Iowa ,116.5,100.4,0.8459,52.6,51.6,17.2,18.5,29.9,29,42.3,28.8,51.5,53.4,36.1,32.6,70.9,3.4,2019
41,Utah St. ,111.9,96.6,0.8455,54.3,46.2,17.9,17.2,31.7,22.2,36.7,34.1,54.7,42.1,35.7,34.8,69.6,2.1,2019
42,Nebraska,111.5,96.2,0.8442,49.1,47.6,14.5,19.7,28.1,32.4,32.8,29.6,48.3,46.4,33.5,33.3,68.1,0.2,2019
43,TCU,110.3,95.4,0.8418,52.3,48.4,19.5,18.8,31.3,28.9,31.6,28.6,52.1,50,35.2,30.5,70.2,0.6,2019
44,Ohio St. ,108.1,93.9,0.8347,50.5,48.2,18.7,18.4,27.7,26.1,34,31.8,49.9,47.4,34.3,33,67.2,1.1,2019
45,Oregon ,106.4,92.5,0.8331,51.7,46.8,17.8,21,29.7,28.1,30.3,35.3,51.9,49,34.3,29.4,65.5,-1.4,2019
46,Minnesota ,110,95.8,0.8309,48.3,49.1,17.6,16.6,31.9,28.1,42,28.3,48.4,48.3,32.1,33.9,69,2.9,2019
47,Creighton,112.1,97.6,0.8304,56.6,52.9,18.5,19,24.5,27.2,29.1,28.1,55.7,53,38.5,35.2,70.1,-1.8,2019
48,Baylor ,113.1,98.7,0.8279,50.9,48.6,19.9,18.5,38.1,28.8,32.6,36.5,50.9,47.1,34,34.1,66.8,0.5,2019
49,Indiana,108.4,95.3,0.8163,51.4,48.4,18,18.1,28.4,28.3,34.8,28.6,53.6,47.7,31.3,33,68.5,0.3,2019
50,New Mexico St. ,111.7,98.2,0.8153,54,48.7,17.7,19.3,37,22.7,34.1,32.4,56.4,47.9,34.2,33.3,67,1.5,2019
51,Alabama,107.8,95,0.8114,50.3,49.1,19.5,17,31.3,27.4,38.5,30.2,50,48.9,33.9,33.1,70.1,-0.3,2019
52,Washington ,105.3,93.1,0.8047,52.1,47.3,19.8,24,29.6,34.4,35.1,34.5,52.3,46,34.6,33.1,67.4,2.8,2019
53,Arkansas,109.6,97,0.8035,51.3,49.4,18.4,22.6,28.5,35.1,38.4,41.5,50.9,48.9,34.6,33.5,72,-2.2,2019
54,Belmont ,114.2,101.2,0.8001,57.9,48.7,15.4,16.3,25.2,24.6,28.4,27.4,59.6,47.1,37.2,34.6,72.6,0.9,2019
55,Missouri,107.2,95.1,0.7981,50.5,49.4,21,18.1,31.9,25.7,29.8,38.1,47.6,50.6,36.3,31.9,66.1,-3.1,2019
56,Seton Hall ,108.2,96.1,0.7964,49.9,49.3,17.5,20,29.3,29.4,34.8,32.6,50.8,48.7,32.4,33.6,70.3,0.3,2019
57,Furman,107.5,95.7,0.7921,55.7,47.7,18.8,20.1,29.2,29.6,25.1,24.3,56.9,48.2,36.2,31.3,68,-0.3,2019
58,Memphis,108.1,96.5,0.787,51.1,48.4,19.8,21.4,33.9,30.9,37.8,37.7,52.5,48.4,32.4,32.3,75.7,-2,2019
59,South Carolina,108,96.4,0.7866,48.3,49.5,19.2,20.3,31.8,31.1,36.2,39.6,44.9,48.2,36.5,34.2,71.8,-2.1,2019
